id_local,arquivo_rel,sha256_arquivo,extract_status,categoria_pos_auditoria,reconcile_outcome,output_tag,motivo_interno
000001,drive-download-20260403T124026Z-3-001_224929\605042002.pdf,a183bb7782e9212686deed5e524eeef22f6038dad4460fbea62a37afd5c6fa77,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_37_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_37_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_37
000002,drive-download-20260403T124026Z-3-001_224929\605042034.pdf,1688c3c38231ddd74679a56de70132929d018b9320eacb1172e4065e36d05fa9,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_37_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_37_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_37
000003,drive-download-20260403T124026Z-3-001_224929\605042047.pdf,3568289f6a79fcb700bb193fa8f8aa19a13d8db9d64ab9d3e462e8c206f9008c,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_37_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_37_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_37
000004,drive-download-20260403T124026Z-3-001_224929\605042111.pdf,4066d2acdec0bf2372582daf34a8401be561f19648412324809476a91e365032,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_37_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_37_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_37
000005,drive-download-20260403T124026Z-3-001_224929\605042171.pdf,fb85bbfa30ffbb95f0d861d5eebb01b3ccae488f6dfda2572cae53f539365455,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_37_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_37_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_37
000006,drive-download-20260403T124026Z-3-001_224929\605042175.pdf,0bcaf44b7c55f6149da69bf8384fdd18c73e041e16e46a27df3daaddea135273,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_37_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_37_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_37
000007,drive-download-20260403T124026Z-3-001_224929\605042195.pdf,e4872a5a590d0616809e188bc07fb48828492b77774d8781b665a4e6656891f7,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_37_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_37_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_37
000008,drive-download-20260403T124026Z-3-001_224929\605042208.pdf,1428d97a546ef626b6432b11c1ed4bafc94e4450ceb776e4f19081fb50311cf9,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_37_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_37_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_37
000009,drive-download-20260403T124026Z-3-001_224929\605042214.pdf,982d3f04eabcb54da80b17fb17ff36b2991354d61b98391c283b14d9eca4531d,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_37_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_37_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_37
000010,drive-download-20260403T124026Z-3-001_224929\605028115.pdf,2661df4e7d7c4e08a3c8180d6f1d3aa4d7be9cab0f4af0350b200a17ec6bbb41,VERDE_AUTO_GEMINI,VERDE_COM_ALERTA,PASS1_V2_BLOCO_37_VERDE_COM_ALERTA,extraidos_motor_fase7a_pass1_v2_block_37_flash,categorize_VERDE_COM_ALERTA_PASS1_V2_BLOCO_37
000011,drive-download-20260403T124026Z-3-001_224929\605028315.pdf,7d5025ab95af711383410e78a15e65acdfabb86b3a237d77bc75a2d805a0c029,VERDE_AUTO_GEMINI,VERDE_COM_ALERTA,PASS1_V2_BLOCO_37_VERDE_COM_ALERTA,extraidos_motor_fase7a_pass1_v2_block_37_flash,categorize_VERDE_COM_ALERTA_PASS1_V2_BLOCO_37
000012,drive-download-20260403T124026Z-3-001_224929\605028715.pdf,3fa9a1fb17e811b48acbe9e048f36d5fc6d49cef8fd2c0af871459563bd73154,VERDE_AUTO_GEMINI,VERDE_COM_ALERTA,PASS1_V2_BLOCO_37_VERDE_COM_ALERTA,extraidos_motor_fase7a_pass1_v2_block_37_flash,categorize_VERDE_COM_ALERTA_PASS1_V2_BLOCO_37
000013,drive-download-20260403T124026Z-3-001_224929\605029715.pdf,73dab5ef21ec52f95a5b95f9075ce3ed4b6c0d01c9bb18e6eecbdf78bc1fa21c,VERDE_AUTO_GEMINI,VERDE_COM_ALERTA,PASS1_V2_BLOCO_37_VERDE_COM_ALERTA,extraidos_motor_fase7a_pass1_v2_block_37_flash,categorize_VERDE_COM_ALERTA_PASS1_V2_BLOCO_37
000014,drive-download-20260403T124026Z-3-001_224929\605041001.pdf,60691ca298c07dc35d82598d3c640ef92276df1f7415a849a55547f5a6ca7dd3,VERDE_AUTO_GEMINI,VERDE_COM_ALERTA,PASS1_V2_BLOCO_37_VERDE_COM_ALERTA,extraidos_motor_fase7a_pass1_v2_block_37_flash,categorize_VERDE_COM_ALERTA_PASS1_V2_BLOCO_37
