arquivo_rel,sha256_arquivo,queue_type,reason,sort
"drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf",4c693f23e4a6ff9e4af50a36d4bdb6ea15fdc31ad550a17ee98c706d8f8201ff,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_52|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,1
"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",8554fe74778230d315df2d5c011cf6e63b17896ca9da067fd00bd898e9731169,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_52|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,2
drive-download-20260403T124026Z-3-001_224929\3cv 6p iec100 23 60hz 130x97.3 605072009.pdf,2454d6682fc6465b3b0c995dd32c44fc79ee5f3d825177d04bdeb6938a53e21a,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_52|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,3
drive-download-20260403T124026Z-3-001_224929\3cv 6p iec132 234 60hz 148.9x130 606506412.pdf,bd517c57052cbc9f53a54c9610cf86bb8a47047c40bb70e75de41b594211cf8b,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_52|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,4
drive-download-20260403T124026Z-3-001_224929\4cv 2p iec100 234 60hz 89.1x110 606502413.pdf,d3f02cde9394d4162101aad28ecd036c9b646048f6a51082b7844267703cbbd1,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_52|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,5
drive-download-20260403T124026Z-3-001_224929\4cv 2p iec90 23 60hz 120x74.2 605015238.pdf,b11b598becf026ad35272f46834f7070380159f4133b7979388324b199867146,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_52|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,6
drive-download-20260403T124026Z-3-001_224929\4cv 2p iec90 23 60hz 130x74.2 605038014.pdf,d1e8163b9785b87ba2420c2cddaa2e0c27175d054f51c8d73c9b7386aa0a4d65,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_52|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,7
drive-download-20260403T124026Z-3-001_224929\4cv 2p iec90 23 60hz 74.2x115 605028510.pdf,e21f1c9156a57ef41e8b9029e12055dd929945289ca5cc027f1b9fe54b64e6a6,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_52|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,8
drive-download-20260403T124026Z-3-001_224929\4cv 2p iec90 234 60hz 74.2x115 605028710.pdf,896061074721b5d48376a78ac82dea99db0f6fedd13d47e850541e98cba8332a,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_52|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,9
drive-download-20260403T124026Z-3-001_224929\4cv 2p iec90 234 60hz 74.2x120 606502412.pdf,460c7d9328664a4eac58a8e276f071ac1f03930555406e1c91d951437e896534,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_52|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,10
drive-download-20260403T124026Z-3-001_224929\4cv 4p iec100 23 60hz 85x97.3 605012265.pdf,e1fe0978a46fa3f23da1118a2e054e9c131c18126709c9b55e665d8b4b769e3c,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_52|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,11
drive-download-20260403T124026Z-3-001_224929\506000001.pdf,07ee07b29bbe27272bbf322218e44b1d3ed370bd4324dea57c6136f2fa67fd4f,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_52|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,12
drive-download-20260403T124026Z-3-001_224929\506001002.pdf,dd5ee614161efd98ea7ad9b9eb2bef81fd18b5cf4eb9efb41f555938d57bf198,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_52|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,13
drive-download-20260403T124026Z-3-001_224929\506001024.pdf,5a2adb1d314d3bf69efed5a57d6eae24045fc664889674648718e715c7cc6731,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_52|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,14
